"","Group","X"
"1","Group A",4.45803104593245
"2","Group A",1.37769709164493
"3","Group A",4.03946900149284
"4","Group A",2.61867886750905
"5","Group A",4.34279626559879
"6","Group A",3.64885459331216
"7","Group A",2.87387577343246
"8","Group A",3.6967983551126
"9","Group A",1.89942564678104
"10","Group A",2.95654879081686
"11","Group A",2.225208110601
"12","Group A",3.71879941457151
"13","Group A",3.53084128943516
"14","Group A",5.24447043457043
"15","Group A",1.79807193586828
"16","Group A",2.12296749330905
"17","Group A",4.4659356578402
"18","Group A",2.67487733328618
"19","Group A",4.67477233112429
"20","Group A",3.51283847110699
"21","Group A",3.10782147794234
"22","Group A",2.29279269815108
"23","Group A",3.39513516122349
"24","Group A",3.38593130202459
"25","Group A",2.64792163356226
"26","Group A",4.88539252762051
"27","Group A",4.09061852317594
"28","Group A",4.33002249491325
"29","Group A",3.79203038275148
"30","Group A",2.48959201978427
"31","Group A",3.57264711666514
"32","Group A",4.48676813489436
"33","Group A",2.70091331764161
"34","Group A",3.82756886690604
"35","Group A",4.45360485037116
"36","Group A",2.58833203980686
"37","Group A",2.16845729924638
"38","Group A",2.83874536112694
"39","Group A",2.68847642475265
"40","Group A",4.24049561067028
"41","Group A",2.41369556577518
"42","Group A",2.9926270188371
"43","Group A",3.06861497652205
"44","Group A",4.88670787820469
"45","Group A",3.84184661902367
"46","Group A",3.66874262128959
"47","Group A",3.24234613931208
"48","Group A",4.00378184463112
"49","Group A",3.48844511093366
"50","Group A",1.74234785752275
"51","Group A",3.44434844704219
"52","Group A",3.28414179798506
"53","Group A",3.10955398597442
"54","Group A",3.24188295566391
"55","Group A",4.04917583478568
"56","Group A",3.75774635283844
"57","Group A",3.64963255140237
"58","Group A",3.65807944035618
"59","Group A",3.03497498791277
"60","Group A",2.77511180638236
"61","Group A",2.0754856423928
"62","Group A",2.86211805841267
"63","Group A",3.89282693883672
"64","Group A",2.14897225776087
"65","Group A",4.71797639174457
"66","Group A",1.60586379233738
"67","Group A",4.69764626712899
"68","Group A",2.00318276791266
"69","Group A",2.65939386897564
"70","Group A",3.18664790772824
"71","Group A",2.4565823866259
"72","Group A",3.52730703735686
"73","Group A",2.9238668009017
"74","Group A",2.47830820987547
"75","Group A",2.31029629500976
"76","Group A",4.89310808716062
"77","Group A",3.82434653133702
"78","Group A",1.32102756924146
"79","Group A",3.6850824615684
"80","Group A",3.84271553910914
"81","Group A",1.45680051813708
"82","Group A",3.67133849882448
"83","Group A",1.40007888662079
"84","Group A",4.46192129043339
"85","Group A",3.85326933650019
"86","Group A",3.84257725460676
